"test"," time-1 "," time-2 "," time-3 ","range"
"Tests/Unit/crash/CyclicExprAlias2.hs"," 0.0403"," 0.0463"," 0.0404","0"
"Tests/Unit/crash/CyclicExprAlias3.hs"," 0.5076"," 0.4904"," 0.4894","0"
"Tests/Unit/crash/CyclicPredAlias0.hs"," 0.4916"," 0.4791"," 0.4725","0"
"Tests/Unit/crash/CyclicPredAlias1.hs"," 0.4940"," 0.4920"," 0.4835","0"
"Tests/Unit/crash/CyclicPredAlias2.hs"," 0.5053"," 0.4745"," 0.4860","0"
"Tests/Unit/crash/CyclicPredAlias3.hs"," 0.5036"," 0.4764"," 0.4738","0"
"Tests/Unit/crash/CyclicTypeAlias0.hs"," 0.4850"," 0.4810"," 0.4719","0"
"Tests/Unit/crash/CyclicTypeAlias1.hs"," 0.4896"," 0.4773"," 0.4700","0"
"Tests/Unit/crash/CyclicTypeAlias2.hs"," 0.5065"," 0.4806"," 0.4672","0"
"Tests/Unit/crash/CyclicTypeAlias3.hs"," 0.4909"," 0.4851"," 0.4767","0"
"Tests/Unit/crash/FunRef1.hs"," 0.5630"," 0.5507"," 0.5414","0"
"Tests/Unit/crash/FunRef2.hs"," 0.5626"," 0.5526"," 0.5444","0"
"Tests/Unit/crash/HaskellMeasure.hs"," 0.5389"," 0.5260"," 0.5227","0"
"Tests/Unit/crash/LocalHole.hs"," 0.5754"," 0.5667"," 0.5621","0"
"Tests/Unit/crash/LocalTermExpr.hs"," 0.5703"," 0.5624"," 0.5588","0"
"Tests/Unit/crash/Mismatch.hs"," 0.5783"," 0.5661"," 0.5568","0"
"Tests/Unit/crash/MultipleRecordSelectors.hs"," 0.5852"," 0.5737"," 0.5707","0"
"Tests/Unit/crash/Qualif.hs"," 0.5792"," 0.5679"," 0.5601","0"
"Tests/Unit/crash/RClass.hs"," 0.5831"," 0.5731"," 0.5662","0"
"Tests/Unit/crash/Unbound.hs"," 0.5620"," 0.5578"," 0.5444","0"
"Tests/Unit/crash/funref.hs"," 0.5652"," 0.5573"," 0.5522","0"
"Tests/Unit/crash/hole-crash1.hs"," 0.5720"," 0.5674"," 0.5612","0"
"Tests/Unit/crash/hole-crash2.hs"," 0.5216"," 0.5198"," 0.5104","0"
"Tests/Unit/crash/hole-crash3.hs"," 0.5518"," 0.5397"," 0.5338","0"
"Tests/Unit/crash/num-float-error.hs"," 0.5675"," 0.5538"," 0.5533","0"
"Tests/Unit/crash/num-float-error1.hs"," 0.5599"," 0.5505"," 0.5486","0"
"Tests/Unit/crash/typeAliasDup.hs"," 0.6049"," 0.5950"," 0.5967","0"
"Tests/Unit/eq_neg/Append.hs"," 3.1515"," 3.0892"," 3.1221","0"
"Tests/Unit/eq_pos/AppendAxiom.hs"," 0.9696"," 0.9448"," 0.9678","0"
"Tests/Unit/eq_pos/AppendVerbose.hs"," 4.0681"," 4.2178"," 4.1962","0"
