"test"," time-1464925730"," time-1465445492"," time-1465507416","range"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Intro.hs"," 4.8514"," 4.9474"," 4.5386","0"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Merge.hs"," 6.6163"," 7.2482"," 6.3659","0"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Radix.hs"," 2.7921"," 3.0304"," 2.7747","0"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Search.hs"," 2.8862"," 3.1441"," 2.7341","0"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Termination.hs"," 1.1544"," 1.2501"," 1.0076","0"
"Tests/Benchmarks/vect-algs/Setup.lhs"," 1.2019"," 1.2992"," 1.1132","0"
"Tests/Unit/crash/AbsRef.hs"," 0.6687"," 0.6835"," 0.6242","0"
"Tests/Unit/crash/Assume.hs"," 0.6888"," 0.7185"," 0.6274","0"
"Tests/Unit/crash/Assume1.hs"," 0.6705"," 0.7104"," 0.6314","0"
"Tests/Unit/crash/Ast.hs"," 0.7158"," 0.7244"," 0.6609","0"
"Tests/Unit/crash/BadExprArg.hs"," 0.6853"," 0.7003"," 0.6340","0"
"Tests/Unit/crash/BadPragma0.hs"," 0.4074"," 0.4072"," 0.3827","0"
"Tests/Unit/crash/BadPragma1.hs"," 0.4155"," 0.4079"," 0.3784","0"
"Tests/Unit/crash/BadPragma2.hs"," 0.4117"," 0.4375"," 0.3801","0"
"Tests/Unit/crash/BadSyn1.hs"," 0.6037"," 0.6590"," 0.5860","0"
"Tests/Unit/crash/BadSyn2.hs"," 0.6101"," 0.6442"," 0.5946","0"
"Tests/Unit/crash/BadSyn3.hs"," 0.6296"," 0.6440"," 0.5964","0"
"Tests/Unit/crash/BadSyn4.hs"," 0.9606"," 0.6607"," 0.5864","0"
"Tests/Unit/crash/CyclicExprAlias0.hs"," 0.6259"," 0.6071"," 0.5473","0"
"Tests/Unit/crash/CyclicExprAlias1.hs"," 0.6183"," 0.6044"," 0.5860","0"
"Tests/Unit/crash/CyclicExprAlias2.hs"," 0.5813"," 0.6391"," 0.5568","0"
"Tests/Unit/crash/CyclicExprAlias3.hs"," 0.5922"," 0.6502"," 0.5570","0"
"Tests/Unit/crash/CyclicPredAlias0.hs"," 0.6080"," 0.6053"," 0.5585","0"
"Tests/Unit/crash/CyclicPredAlias1.hs"," 0.5898"," 0.6254"," 0.5505","0"
"Tests/Unit/crash/CyclicPredAlias2.hs"," 0.6076"," 0.5939"," 0.5482","0"
"Tests/Unit/crash/CyclicPredAlias3.hs"," 0.6123"," 0.6287"," 0.5484","0"
"Tests/Unit/crash/CyclicTypeAlias0.hs"," 0.6399"," 0.5931"," 0.5482","0"
"Tests/Unit/crash/CyclicTypeAlias1.hs"," 0.8262"," 0.5929"," 0.5522","0"
"Tests/Unit/crash/CyclicTypeAlias2.hs"," 0.6720"," 0.5933"," 0.5422","0"
"Tests/Unit/crash/CyclicTypeAlias3.hs"," 0.5946"," 0.6332"," 0.5491","0"
"Tests/Unit/crash/FunRef1.hs"," 1.1122"," 0.6816"," 0.6184","0"
"Tests/Unit/crash/FunRef2.hs"," 0.8649"," 0.6855"," 0.6208","0"
"Tests/Unit/crash/HaskellMeasure.hs"," 0.6515"," 0.6640"," 0.5847","0"
"Tests/Unit/crash/HigherOrder.hs"," 0.7437"," 0.6697"," 0.6532","0"
"Tests/Unit/crash/LocalHole.hs"," 0.6610"," 0.6702"," 0.6187","0"
"Tests/Unit/crash/LocalTermExpr.hs"," 0.6594"," 0.6626"," 0.6496","0"
"Tests/Unit/crash/Mismatch.hs"," 0.7254"," 0.6835"," 0.6287","0"
"Tests/Unit/crash/MultipleRecordSelectors.hs"," 0.7537"," 0.6878"," 0.6277","0"
"Tests/Unit/crash/Qualif.hs"," 0.7256"," 0.7006"," 0.6259","0"
"Tests/Unit/crash/RClass.hs"," 0.7116"," 0.7017"," 0.6333","0"
"Tests/Unit/crash/T649.hs"," 0.7272"," 0.7517"," 0.6618","0"
"Tests/Unit/crash/T691.hs"," 0.4279"," 0.4203"," 0.3775","0"
"Tests/Unit/crash/Unbound.hs"," 0.6835"," 0.7140"," 0.6234","0"
"Tests/Unit/crash/errmsg-dc-num.hs"," 0.6627"," 0.6884"," 0.6099","0"
"Tests/Unit/crash/errmsg-dc-type.hs"," 0.6977"," 0.7034"," 0.6157","0"
"Tests/Unit/crash/errmsg-mismatch.hs"," 0.6988"," 0.7133"," 0.6252","0"
"Tests/Unit/crash/funref.hs"," 1.0264"," 0.6695"," 0.6131","0"
