"test"," time-1464925730"," time-1465445492","range"
"Tests/Benchmarks/icfp_pos/Incr-elim.hs"," 1.1179"," 0.9070","0"
"Tests/Benchmarks/icfp_pos/Incr.hs"," 1.2933"," 0.9358","0"
"Tests/Benchmarks/icfp_pos/Privileges.hs"," 1.0700"," 0.8020","0"
"Tests/Benchmarks/icfp_pos/TestM.hs"," 1.0448"," 0.8308","0"
"Tests/Benchmarks/icfp_pos/TwiceM.hs"," 6.8861"," 6.0222","0"
"Tests/Benchmarks/icfp_pos/WhileM.hs"," 1.0715"," 1.0002","0"
"Tests/Benchmarks/icfp_pos/WhileTest.hs"," 1.0262"," 0.9643","0"
"Tests/Benchmarks/icfp_pos/dropwhile.hs"," 1.2563"," 0.9683","0"
"Tests/Benchmarks/text/Data/Text.hs"," 34.9188"," 35.3815","0"
"Tests/Benchmarks/text/Data/Text/Array.hs"," 1.9103"," 1.9322","0"
"Tests/Benchmarks/text/Data/Text/Foreign.hs"," 3.2274"," 3.1092","0"
"Tests/Benchmarks/text/Data/Text/Fusion-debug-sel.hs"," 3.3065"," 2.9160","0"
"Tests/Benchmarks/text/Data/Text/Fusion/Size.hs"," 2.0940"," 1.9532","0"
"Tests/Benchmarks/text/Data/Text/Lazy/Builder.hs"," 10.5905"," 10.1822","0"
"Tests/Benchmarks/text/Data/Text/Lazy/Encoding.hs"," 13.0587"," 12.6806","0"
"Tests/Benchmarks/text/Data/Text/Lazy/Internal.hs"," 5.1417"," 5.1713","0"
"Tests/Benchmarks/text/Data/Text/Private.hs"," 2.3593"," 2.1391","0"
"Tests/Benchmarks/text/Data/Text/Search.hs"," 11.7556"," 10.8127","0"
"Tests/Benchmarks/text/Data/Text/Unsafe.hs"," 2.3415"," 2.3221","0"
"Tests/Benchmarks/text/Data/Text/UnsafeChar.hs"," 2.1241"," 1.6981","0"
"Tests/Benchmarks/text/Setup.lhs"," 1.5842"," 1.1249","0"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/AmericanFlag.hs"," 4.3265"," 4.8080","0"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Combinators.hs"," 0.7693"," 0.7943","0"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Common.hs"," 1.0978"," 1.1314","0"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Insertion.hs"," 1.6289"," 1.4852","0"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Intro.hs"," 4.8514"," 4.9474","0"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Merge.hs"," 6.6163"," 7.2482","0"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Radix.hs"," 2.7921"," 3.0304","0"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Search.hs"," 2.8862"," 3.1441","0"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Termination.hs"," 1.1544"," 1.2501","0"
"Tests/Benchmarks/vect-algs/Setup.lhs"," 1.2019"," 1.2992","0"
"Tests/Unit/crash/AbsRef.hs"," 0.6687"," 0.6835","0"
"Tests/Unit/crash/Assume.hs"," 0.6888"," 0.7185","0"
"Tests/Unit/crash/Assume1.hs"," 0.6705"," 0.7104","0"
"Tests/Unit/crash/Ast.hs"," 0.7158"," 0.7244","0"
"Tests/Unit/crash/BadExprArg.hs"," 0.6853"," 0.7003","0"
"Tests/Unit/crash/BadPragma0.hs"," 0.4074"," 0.4072","0"
"Tests/Unit/crash/BadPragma1.hs"," 0.4155"," 0.4079","0"
"Tests/Unit/crash/BadPragma2.hs"," 0.4117"," 0.4375","0"
"Tests/Unit/crash/BadSyn1.hs"," 0.6037"," 0.6590","0"
"Tests/Unit/crash/BadSyn2.hs"," 0.6101"," 0.6442","0"
"Tests/Unit/crash/BadSyn3.hs"," 0.6296"," 0.6440","0"
"Tests/Unit/crash/BadSyn4.hs"," 0.9606"," 0.6607","0"
"Tests/Unit/crash/CyclicExprAlias0.hs"," 0.6259"," 0.6071","0"
"Tests/Unit/crash/CyclicExprAlias1.hs"," 0.6183"," 0.6044","0"
"Tests/Unit/crash/CyclicExprAlias2.hs"," 0.5813"," 0.6391","0"
"Tests/Unit/crash/CyclicExprAlias3.hs"," 0.5922"," 0.6502","0"
"Tests/Unit/crash/CyclicPredAlias0.hs"," 0.6080"," 0.6053","0"
"Tests/Unit/crash/CyclicPredAlias1.hs"," 0.5898"," 0.6254","0"
"Tests/Unit/crash/CyclicPredAlias2.hs"," 0.6076"," 0.5939","0"
"Tests/Unit/crash/CyclicPredAlias3.hs"," 0.6123"," 0.6287","0"
"Tests/Unit/crash/CyclicTypeAlias0.hs"," 0.6399"," 0.5931","0"
"Tests/Unit/crash/CyclicTypeAlias1.hs"," 0.8262"," 0.5929","0"
"Tests/Unit/crash/CyclicTypeAlias2.hs"," 0.6720"," 0.5933","0"
"Tests/Unit/crash/CyclicTypeAlias3.hs"," 0.5946"," 0.6332","0"
"Tests/Unit/crash/FunRef1.hs"," 1.1122"," 0.6816","0"
"Tests/Unit/crash/FunRef2.hs"," 0.8649"," 0.6855","0"
"Tests/Unit/crash/HaskellMeasure.hs"," 0.6515"," 0.6640","0"
"Tests/Unit/crash/HigherOrder.hs"," 0.7437"," 0.6697","0"
"Tests/Unit/crash/LocalHole.hs"," 0.6610"," 0.6702","0"
"Tests/Unit/crash/LocalTermExpr.hs"," 0.6594"," 0.6626","0"
"Tests/Unit/crash/Mismatch.hs"," 0.7254"," 0.6835","0"
"Tests/Unit/crash/MultipleRecordSelectors.hs"," 0.7537"," 0.6878","0"
"Tests/Unit/crash/Qualif.hs"," 0.7256"," 0.7006","0"
"Tests/Unit/crash/RClass.hs"," 0.7116"," 0.7017","0"
"Tests/Unit/crash/T649.hs"," 0.7272"," 0.7517","0"
"Tests/Unit/crash/T691.hs"," 0.4279"," 0.4203","0"
"Tests/Unit/crash/Unbound.hs"," 0.6835"," 0.7140","0"
"Tests/Unit/crash/errmsg-dc-num.hs"," 0.6627"," 0.6884","0"
"Tests/Unit/crash/errmsg-dc-type.hs"," 0.6977"," 0.7034","0"
"Tests/Unit/crash/errmsg-mismatch.hs"," 0.6988"," 0.7133","0"
"Tests/Unit/crash/funref.hs"," 1.0264"," 0.6695","0"
"Tests/Unit/crash/hole-crash1.hs"," 0.6671"," 0.6809","0"
"Tests/Unit/crash/hole-crash2.hs"," 0.5983"," 0.6208","0"
"Tests/Unit/crash/hole-crash3.hs"," 0.6608"," 0.6757","0"
"Tests/Unit/crash/issue594.hs"," 0.6919"," 0.7097","0"
"Tests/Unit/crash/num-float-error.hs"," 0.6971"," 0.6798","0"
"Tests/Unit/crash/num-float-error1.hs"," 0.7417"," 0.6786","0"
"Tests/Unit/crash/predparams.hs"," 0.6567"," 0.6642","0"
"Tests/Unit/crash/typeAliasDup.hs"," 0.7848"," 0.7495","0"
"Tests/Unit/eq_neg/Append.hs"," 2.7843"," 2.4911","0"
"Tests/Unit/eq_neg/Fibonacci.hs"," 0.9253"," 0.7359","0"
"Tests/Unit/eq_pos/AppendAxiom.hs"," 1.0609"," 1.0964","0"
"Tests/Unit/eq_pos/AppendVerbose.hs"," 3.1062"," 3.1528","0"
"Tests/Unit/eq_pos/Arrow.hs"," 0.7321"," 0.7324","0"
"Tests/Unit/eq_pos/MapAppend.hs"," 0.0000"," 0.0001","0"
"Tests/Unit/eq_pos/MonadicLaws.hs"," 7.9927"," 8.1565","0"
"Tests/Unit/eq_pos/MonadicLawsMaybe.hs"," 1.2089"," 1.2120","0"
"Tests/Unit/eq_pos/MonadicLawsMaybeAssoc.hs"," 1.3228"," 1.1932","0"
"Tests/Unit/error/crash/TerminationExpr.hs"," 0.6922"," 0.6879","0"
"Tests/Unit/error/crash/TerminationExpr1.hs"," 0.6886"," 0.7329","0"
"Tests/Unit/neg/AbsApp.hs"," 0.7202"," 0.7120","0"
"Tests/Unit/neg/Ast.hs"," 0.7505"," 0.7925","0"
"Tests/Unit/neg/AutoSize.hs"," 0.7330"," 0.7344","0"
"Tests/Unit/neg/AutoTerm.hs"," 0.7668"," 0.7626","0"
"Tests/Unit/neg/AutoTerm1.hs"," 0.9357"," 0.7536","0"
"Tests/Unit/neg/BadHMeas.hs"," 0.7629"," 0.7695","0"
"Tests/Unit/neg/Baz.hs"," 0.7536"," 0.7241","0"
"Tests/Unit/neg/BigNum.hs"," 0.7629"," 0.7230","0"
"Tests/Unit/neg/Books.hs"," 0.8809"," 0.8384","0"
"Tests/Unit/neg/CastedTotality.hs"," 0.7960"," 0.8130","0"
"Tests/Unit/neg/Class1.hs"," 0.9142"," 0.9790","0"
"Tests/Unit/neg/Class2.hs"," 0.7872"," 0.8227","0"
"Tests/Unit/neg/Class3.hs"," 0.9131"," 0.8174","0"
"Tests/Unit/neg/Class4.hs"," 0.9114"," 0.7682","0"
"Tests/Unit/neg/Class5.hs"," 0.7430"," 0.7464","0"
"Tests/Unit/neg/CompareConstraints.hs"," 1.3029"," 1.0062","0"
"Tests/Unit/neg/Constraints.hs"," 0.8990"," 0.7730","0"
"Tests/Unit/neg/ConstraintsAppend.hs"," 1.7592"," 1.3340","0"
"Tests/Unit/neg/Eval.hs"," 0.9470"," 0.9347","0"
"Tests/Unit/neg/Even.hs"," 0.7887"," 0.7671","0"
"Tests/Unit/neg/FunSoundness.hs"," 0.9666"," 0.7440","0"
"Tests/Unit/neg/FunctionRef.hs"," 0.7509"," 0.7733","0"
"Tests/Unit/neg/GADTs.hs"," 1.0165"," 0.7629","0"
"Tests/Unit/neg/GeneralizedTermination.hs"," 0.9038"," 0.7875","0"
"Tests/Unit/neg/Gradual.hs"," 0.7655"," 0.7262","0"
"Tests/Unit/neg/HasElem.hs"," 0.8000"," 0.7820","0"
"Tests/Unit/neg/HigherOrder.hs"," 1.0545"," 0.7257","0"
"Tests/Unit/neg/HolesTop.hs"," 1.0062"," 1.2579","0"
"Tests/Unit/neg/LazyWhere.hs"," 0.9010"," 1.1432","0"
"Tests/Unit/neg/LazyWhere1.hs"," 1.1380"," 1.3531","0"
"Tests/Unit/neg/LiquidClass.hs"," 1.1718"," 0.7870","0"
"Tests/Unit/neg/LiquidClass1.hs"," 0.9979"," 0.7697","0"
"Tests/Unit/neg/ListConcat.hs"," 1.0515"," 0.7828","0"
"Tests/Unit/neg/ListElem.hs"," 0.8245"," 0.7917","0"
"Tests/Unit/neg/ListISort-LType.hs"," 0.9038"," 0.9602","0"
"Tests/Unit/neg/ListISort.hs"," 1.2009"," 1.3206","0"
"Tests/Unit/neg/ListKeys.hs"," 0.7571"," 0.7934","0"
"Tests/Unit/neg/ListMSort.hs"," 1.6078"," 1.8098","0"
"Tests/Unit/neg/ListQSort.hs"," 1.1827"," 1.2602","0"
"Tests/Unit/neg/ListRange.hs"," 0.8317"," 0.8962","0"
"Tests/Unit/neg/LocalSpec.hs"," 0.8188"," 0.7587","0"
"Tests/Unit/neg/MeasureContains.hs"," 0.9191"," 0.8700","0"
"Tests/Unit/neg/MeasureDups.hs"," 0.8543"," 0.8657","0"
"Tests/Unit/neg/MergeSort.hs"," 1.9771"," 1.4689","0"
"Tests/Unit/neg/MultiParamTypeClasses.hs"," 0.7988"," 0.7267","0"
"Tests/Unit/neg/MultipleInvariants.hs"," 0.7754"," 0.7227","0"
"Tests/Unit/neg/NoExhaustiveGuardsError.hs"," 0.8362"," 0.7081","0"
"Tests/Unit/neg/NoMethodBindingError.hs"," 0.8506"," 0.7039","0"
"Tests/Unit/neg/PairMeasure.hs"," 0.8403"," 0.7330","0"
"Tests/Unit/neg/Propability.hs"," 0.9123"," 0.8353","0"
"Tests/Unit/neg/Propability0.hs"," 0.7803"," 0.7648","0"
"Tests/Unit/neg/QQTySig.hs"," 3.9958"," 3.2266","0"
"Tests/Unit/neg/QQTySyn1.hs"," 3.9267"," 3.0118","0"
"Tests/Unit/neg/QQTySyn2.hs"," 4.0643"," 3.4547","0"
"Tests/Unit/neg/RG.hs"," 1.2197"," 0.9082","0"
"Tests/Unit/neg/RecQSort.hs"," 0.9816"," 1.0475","0"
"Tests/Unit/neg/RecSelector.hs"," 0.8353"," 0.6908","0"
"Tests/Unit/neg/SafePartialFunctions.hs"," 0.8513"," 0.7169","0"
"Tests/Unit/neg/Solver.hs"," 1.6396"," 1.2330","0"
"Tests/Unit/neg/StateConstraints.hs"," 1.3064"," 1.1650","0"
"Tests/Unit/neg/StateConstraints00.hs"," 0.9235"," 0.7422","0"
"Tests/Unit/neg/Strata.hs"," 0.8322"," 0.7229","0"
"Tests/Unit/neg/StreamInvariants.hs"," 0.8890"," 0.7202","0"
"Tests/Unit/neg/StrictPair0.hs"," 0.7719"," 0.7114","0"
"Tests/Unit/neg/StrictPair1.hs"," 1.0308"," 0.9772","0"
"Tests/Unit/neg/Strings.hs"," 0.7535"," 0.7138","0"
"Tests/Unit/neg/Sum.hs"," 0.8211"," 0.7658","0"
"Tests/Unit/neg/T602.hs"," 0.8215"," 0.7156","0"
"Tests/Unit/neg/TermReal.hs"," 0.9881"," 0.7090","0"
"Tests/Unit/neg/TerminationNum.hs"," 0.7704"," 0.7361","0"
"Tests/Unit/neg/TerminationNum0.hs"," 0.9185"," 0.7420","0"
"Tests/Unit/neg/TopLevel.hs"," 1.0478"," 0.7423","0"
"Tests/Unit/neg/Variance.hs"," 1.0513"," 0.7263","0"
"Tests/Unit/neg/Variance1.hs"," 0.7273"," 0.7909","0"
"Tests/Unit/neg/alias00.hs"," 0.7238"," 0.7462","0"
"Tests/Unit/neg/ass0.hs"," 0.7329"," 0.7043","0"
"Tests/Unit/neg/avg-bug.hs"," 0.7732"," 0.7565","0"
"Tests/Unit/neg/avg-bug.lhs"," 1.5659"," 1.6089","0"
"Tests/Unit/neg/concat.hs"," 1.2366"," 1.0169","0"
"Tests/Unit/neg/concat1.hs"," 1.4265"," 1.0452","0"
"Tests/Unit/neg/concat2.hs"," 1.5717"," 1.0565","0"
"Tests/Unit/neg/contra0.hs"," 0.8004"," 0.8322","0"
